,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
34,ny,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,11.0450139,0.285925,12018.0007,state,fb-survey
35,oh,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,18.4967834,0.3888356,9971.0068,state,fb-survey
36,ok,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,29.2054522,0.7418363,3757.0548,state,fb-survey
37,or,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,13.228487,0.5335571,4032.047,state,fb-survey
38,pa,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,14.3312885,0.3232059,11753.0073,state,fb-survey
39,ri,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,9.6499706,0.9342156,998.9875,state,fb-survey
40,sc,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,21.686617,0.5871736,4926.0036,state,fb-survey
41,sd,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,38.8368255,1.5392242,1002.6052,state,fb-survey
42,tn,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,24.4948016,0.5895864,5320.5426,state,fb-survey
43,tx,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,20.5535415,0.3076354,17253.9514,state,fb-survey
44,ut,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,29.7720162,0.8555912,2856.1817,state,fb-survey
45,va,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,16.3211388,0.4370781,7149.0464,state,fb-survey
46,vt,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,11.8817816,1.1244967,828.0011,state,fb-survey
47,wa,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,14.3081121,0.4285209,6676.9488,state,fb-survey
48,wi,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,26.5508169,0.5781125,5834.9903,state,fb-survey
49,wv,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,23.1348175,0.9132476,2132.1545,state,fb-survey
50,wy,smoothed_hh_cmnty_cli,2020-09-24,,2020-10-05,11,23.8957437,1.6674783,654.0472,state,fb-survey
0,ak,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,21.4192708,1.4813671,767.0,state,fb-survey
1,al,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,26.3544523,0.7459434,3488.0985,state,fb-survey
2,ar,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,28.9612862,0.8947421,2569.9055,state,fb-survey
3,az,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,15.2323269,0.4901126,5375.325,state,fb-survey
4,ca,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,13.2421009,0.2359594,20634.3707,state,fb-survey
5,co,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,17.4672943,0.5445253,4862.0079,state,fb-survey
6,ct,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,11.6838955,0.5298893,3675.0,state,fb-survey
7,dc,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,9.607438,1.3409006,483.0,state,fb-survey
8,de,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,11.8957346,0.9971805,1054.0,state,fb-survey
9,fl,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,18.3560175,0.3066055,15941.998,state,fb-survey
10,ga,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,23.1811315,0.5377982,6156.9246,state,fb-survey
11,hi,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,14.5892351,1.0852498,1058.0,state,fb-survey
12,ia,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,30.1713098,0.7711949,3542.4176,state,fb-survey
13,id,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,25.4684981,1.0009398,1894.6426,state,fb-survey
14,il,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,19.547622,0.3989679,9880.0014,state,fb-survey
15,in,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,23.4805171,0.5667837,5593.0016,state,fb-survey
16,ks,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,27.9535057,0.8456885,2815.9719,state,fb-survey
17,ky,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,22.3448791,0.6921731,3621.7522,state,fb-survey
18,la,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,22.5766587,0.7013493,3553.553,state,fb-survey
19,ma,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,11.4749075,0.4552658,4901.009,state,fb-survey
20,md,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,12.9847992,0.5442119,3814.9974,state,fb-survey
21,me,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,13.1327334,0.8012387,1777.0,state,fb-survey
22,mi,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,16.1662426,0.3746021,9658.0088,state,fb-survey
23,mn,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,21.6384271,0.612676,4517.1773,state,fb-survey
24,mo,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,31.517422,0.6550728,5029.8109,state,fb-survey
25,ms,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,25.0117771,0.9112579,2258.6815,state,fb-survey
26,mt,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,26.0817815,1.1722464,1402.9781,state,fb-survey
27,nc,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,17.7650569,0.4195642,8299.0083,state,fb-survey
28,nd,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,37.0787895,1.6777475,828.8375,state,fb-survey
29,ne,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,29.5607693,1.060692,1850.7671,state,fb-survey
30,nh,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,14.6162859,0.8552962,1706.0,state,fb-survey
31,nj,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,10.1855138,0.4020637,5658.9982,state,fb-survey
32,nm,smoothed_hh_cmnty_cli,2020-09-25,,2020-10-05,10,14.7604874,0.8486712,1746.8786,state,fb-survey
