,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
7,dc,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,98.1152993,0.6410373,450.0,state,fb-survey
8,de,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,92.5869121,0.8381603,977.0,state,fb-survey
9,fl,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,85.6937402,0.2863918,14946.9985,state,fb-survey
10,ga,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,81.5690021,0.5116913,5741.9305,state,fb-survey
11,hi,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,92.669363,0.8292023,988.0,state,fb-survey
12,ia,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,77.039009,0.732972,3292.5055,state,fb-survey
13,id,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,73.0877063,1.0621109,1743.6339,state,fb-survey
14,il,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,87.3380097,0.3455975,9259.0008,state,fb-survey
15,in,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,82.7052521,0.5244715,5200.0015,state,fb-survey
16,ks,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,82.1229198,0.746995,2631.0288,state,fb-survey
17,ky,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,86.2231768,0.5970773,3332.0536,state,fb-survey
18,la,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,82.1004989,0.6737285,3237.5534,state,fb-survey
19,ma,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,92.9759149,0.3731584,4690.0095,state,fb-survey
20,md,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,93.3030757,0.4146041,3634.9975,state,fb-survey
21,me,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,87.820131,0.7984034,1678.0,state,fb-survey
22,mi,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,86.0295182,0.3664525,8950.0091,state,fb-survey
23,mn,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,87.5116816,0.5066675,4257.1978,state,fb-survey
24,mo,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,80.6672896,0.5805741,4626.7386,state,fb-survey
25,ms,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,83.4947716,0.826624,2016.8091,state,fb-survey
26,mt,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,75.9961016,1.1873309,1293.9859,state,fb-survey
27,nc,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,85.8042168,0.3976784,7702.0093,state,fb-survey
28,nd,smoothed_wearing_mask,2020-09-25,,2020-10-05,10,67.6386616,1.6906691,765.7804,state,fb-survey
